condition,architecture,seed,agents,tasks,margin,safe_completion_rate,raw_completion_rate,constraint_violation_rate,compromised_assignment_rate,messages_per_safe_completion,messages,contract_fields_transmitted,false_rejection_rate,strategy_entropy,unavailable_task_rate
independent_compromise_10pct,peer_reputation,4910007,500,1200,0,0.9025,0.9991666666666666,0.09674728940783987,0.010008340283569641,16.626038781163434,18006,0,0.0,0.9940198792726505,0.0
independent_compromise_10pct,constraint_contract,4910007,500,1200,0,0.9191666666666667,0.9425,0.02475685234305924,0.0,15.15775158658205,16719,72000,0.05625790139064475,0.9931774060454264,0.0375
independent_compromise_10pct,peer_reputation,4920014,500,1200,0,0.8975,1.0,0.1025,0.008333333333333333,16.64995357474466,17932,0,0.0,0.9925627182732977,0.0
independent_compromise_10pct,constraint_contract,4920014,500,1200,0,0.9458333333333333,0.975,0.029914529914529916,0.0,14.669603524229075,16650,72000,0.05644318351500672,0.991950598212559,0.015
independent_compromise_10pct,peer_reputation,4930021,500,1200,0,0.9166666666666666,0.9966666666666667,0.0802675585284281,0.006688963210702341,16.345454545454544,17980,0,0.0,0.9781025966405777,0.0
independent_compromise_10pct,constraint_contract,4930021,500,1200,0,0.9208333333333333,0.9466666666666667,0.027288732394366196,0.0,15.084162895927602,16668,72000,0.0619495447081654,0.9918076550881413,0.03666666666666667
independent_compromise_10pct,peer_reputation,4940028,500,1200,0,0.9275,0.9991666666666666,0.07172643869891576,0.007506255212677231,16.062893081761008,17878,0,0.0,0.9956890631855093,0.0
independent_compromise_10pct,constraint_contract,4940028,500,1200,0,0.9483333333333334,0.97,0.022336769759450172,0.0,14.679261862917398,16705,72000,0.056857185494702284,0.9960462962598747,0.014166666666666666
independent_compromise_10pct,peer_reputation,4950035,500,1200,0,0.8983333333333333,1.0,0.10166666666666667,0.0075,16.786641929499073,18096,0,0.0,0.9950284902346429,0.0
independent_compromise_10pct,constraint_contract,4950035,500,1200,0,0.925,0.9558333333333333,0.03225806451612903,0.0,15.085585585585585,16745,72000,0.059882935614588025,0.9953099321824252,0.025833333333333333
independent_compromise_10pct,peer_reputation,4960042,500,1200,0,0.9008333333333334,0.9983333333333333,0.09766277128547579,0.011686143572621035,16.640148011100834,17988,0,0.0,0.9969006276732318,0.0
independent_compromise_10pct,constraint_contract,4960042,500,1200,0,0.9466666666666667,0.9716666666666667,0.025728987993138937,0.0,14.680457746478874,16677,72000,0.05679574791192103,0.9989129744466123,0.020833333333333332
independent_compromise_10pct,peer_reputation,4970049,500,1200,0,0.9175,0.9991666666666666,0.0817347789824854,0.003336113427856547,16.168937329700274,17802,0,0.0,0.9809539933808912,0.0
independent_compromise_10pct,constraint_contract,4970049,500,1200,0,0.9525,0.9816666666666667,0.029711375212224108,0.0,14.702537182852144,16805,72000,0.05433816997334913,0.9919435418291027,0.0075
independent_compromise_10pct,peer_reputation,4980056,500,1200,0,0.9108333333333334,0.9991666666666666,0.0884070058381985,0.0025020850708924102,16.462946020128086,17994,0,0.0,0.9926772220131217,0.0
independent_compromise_10pct,constraint_contract,4980056,500,1200,0,0.9383333333333334,0.9641666666666666,0.02679343128781331,0.0,14.746003552397868,16604,72000,0.05227803738317757,0.9929473199324504,0.018333333333333333
independent_compromise_10pct,peer_reputation,4990063,500,1200,0,0.8883333333333333,0.9991666666666666,0.11092577147623019,0.007506255212677231,16.936210131332082,18054,0,0.0,0.990551260200898,0.0
independent_compromise_10pct,constraint_contract,4990063,500,1200,0,0.9291666666666667,0.9558333333333333,0.02789886660854403,0.0,14.934529147982063,16652,72000,0.05985915492957746,0.9952905054127746,0.021666666666666667
independent_compromise_10pct,peer_reputation,5000070,500,1200,0,0.8933333333333333,0.9966666666666667,0.10367892976588629,0.007525083612040134,16.97761194029851,18200,0,0.0,0.9864174538187516,0.0
independent_compromise_10pct,constraint_contract,5000070,500,1200,0,0.925,0.9408333333333333,0.01682905225863596,0.0,15.091891891891892,16752,72000,0.057707385918143325,0.9855042578397292,0.028333333333333332
independent_compromise_10pct,peer_reputation,5010077,500,1200,0,0.9025,0.9991666666666666,0.09674728940783987,0.0025020850708924102,16.566943674976915,17942,0,0.0,0.9956942097601836,0.0
independent_compromise_10pct,constraint_contract,5010077,500,1200,0,0.9425,0.9708333333333333,0.029184549356223177,0.0,14.731211317418214,16661,72000,0.0555130753937911,0.995927086023452,0.009166666666666667
independent_compromise_10pct,peer_reputation,5020084,500,1200,0,0.8958333333333334,0.9958333333333333,0.100418410041841,0.005857740585774059,17.002790697674417,18278,0,0.0,0.9970768313104184,0.0
independent_compromise_10pct,constraint_contract,5020084,500,1200,0,0.9025,0.9266666666666666,0.026079136690647483,0.0,15.456140350877194,16739,72000,0.06072493331241174,0.9959982410984017,0.04583333333333333
independent_compromise_10pct,peer_reputation,5030091,500,1200,0,0.9091666666666667,0.9991666666666666,0.09007506255212677,0.009174311926605505,16.361136571952336,17850,0,0.0,0.9820276157325034,0.0
independent_compromise_10pct,constraint_contract,5030091,500,1200,0,0.9425,0.9658333333333333,0.024158757549611734,0.0,14.764809902740938,16699,72000,0.059915743485723205,0.9849923607631395,0.014166666666666666
independent_compromise_10pct,peer_reputation,5040098,500,1200,0,0.8991666666666667,0.9991666666666666,0.10008340283569642,0.003336113427856547,16.832252085264134,18162,0,0.0,0.9970519796213452,0.0
independent_compromise_10pct,constraint_contract,5040098,500,1200,0,0.9275,0.9541666666666667,0.02794759825327511,0.0,15.04941599281222,16750,72000,0.05993829881004848,0.9899349294865374,0.02
independent_compromise_10pct,peer_reputation,5050105,500,1200,0,0.885,0.9983333333333333,0.11352253756260434,0.004173622704507512,17.12241054613936,18184,0,0.0,0.9808284603912393,0.0
independent_compromise_10pct,constraint_contract,5050105,500,1200,0,0.9316666666666666,0.9625,0.032034632034632034,0.0,14.956171735241503,16721,72000,0.05454822489715069,0.983931120563974,0.019166666666666665
independent_compromise_10pct,peer_reputation,5060112,500,1200,0,0.8908333333333334,0.9975,0.10693400167084377,0.004177109440267335,16.903648269410663,18070,0,0.0,0.9982408434935857,0.0
independent_compromise_10pct,constraint_contract,5060112,500,1200,0,0.9416666666666667,0.9675,0.026701119724375538,0.0,14.820353982300885,16747,72000,0.05515303859234068,0.9965757485302785,0.014166666666666666
